winner,loser,m_winner,m_loser,s_winner,s_loser,b_winner,b_loser
Azarenka V.,Bartoli M.,1.6146392978794382,-0.8527039577988487,1.9506802701854686,1.3070143421067975,2.5,1.5
Kirilenko M.,Vakulenko J.,0.4794569202723438,0.8232363348719861,1.4813104443247807,2.1613607603161875,1.39,2.75
Dementieva E.,Muller M.,0.5441100660432792,-1.0601327721758338,1.477981050985998,1.4703936232041834,1.11,6
Petrova N.,Dulko G.,0.035075527086870284,0.5362963038867333,1.6648096719595789,1.3270987505442513,1.1,6.5
Peer S.,Tu M.,2.7549050183224137,-0.7732250589694148,1.053206609714214,1.6462516620600904,1.12,5.5
Safarova L.,Schiavone F.,0.5954301487168305,0.16634755091966752,1.4309535019002122,1.690429989278464,2.5,1.5
Birnerova E.,Schruff J.,-0.27011934941414756,1.8445420641438401,1.6629412543873285,1.6530183112377652,2.1,1.66
Yakimova A.,Sugiyama A.,1.3095921546231177,-1.6197355157817925,2.1299691050692684,1.442473406551821,3.25,1.33
Golovin T.,Ondraskova Z.,0.6994820741906835,1.3095921546231177,1.5706906660202953,2.1299691050692684,1.1,6.5
Williams S.,Kremer A.,1.431127872908815,0.9427511522337487,1.2588753664098533,2.13968181208707,1.06,8
Srebotnik K.,Benesova I.,0.5861431886164657,-0.678462839512262,1.1046904533432165,1.602679734590829,1.39,2.75
Vaidisova N.,Sequera M.,3.233790567564362,0.6461823883941122,1.2103520311957547,1.4889419010714655,1.05,8.5
Mauresmo A.,Poutchkova O.,2.041547975182405,1.42566894870509,1.5842684984103088,1.2974415160136163,1.07,7.5
Hingis M.,Kudryavtseva A.,3.215106725684463,1.7861866442544434,0.9453568069419529,2.0040783956421677,1.02,12
Nakamura A.,Mirza S.,0.9160951467874564,3.0933802359443114,1.2356865034217523,1.296321372384831,2.62,1.44
Zvonareva V.,Paszek T.,2.8515227984927702,1.4766486890903443,1.0069659395858095,1.9537031644839409,1.28,3.5
Garbin T.,Voracova R.,2.1180812949432277,1.2094582945538093,1.213665061162555,2.119369830770481,1.33,3.25
Bondarenko A.,Razzano V.,0.5456380661882725,2.4890571190568784,1.537862613479248,1.1813318806606043,1.72,2
Chakvetadze A.,Granville L.,4.825213667085091,1.1502434791954725,1.3086182900981087,1.4897835096934335,1.14,5
Clijsters K.,Morigami A.,5.507843252620535,1.3095921546231177,1.261963878295458,2.1299691050692684,1.02,12
