date,bankroll,bet_size,profit,bet_on,odds_taken,predicted_prob,daily_return
2007-01-15,17.719186544634578,1.8747262214459794,-1.8747262214459794,Gallovits E.,2.62,0.5,-0.095679012345679
2007-01-15,15.504288226555255,2.2148983180793222,-2.2148983180793222,Domachowska M.,3.0,0.5,-0.125
2007-01-15,16.938434887511615,1.0468223802601178,1.4341466609563613,Sequera M.,2.37,0.5,0.09250000000000003
2007-01-15,13.550747910009292,3.387686977502323,-3.387686977502323,Oprandi R.,6.0,0.5,-0.19999999999999996
2007-01-15,11.668699589174668,1.882048320834624,-1.882048320834624,Sprem K.,3.25,0.5,-0.13888888888888884
2007-01-15,11.085264609715935,0.5834349794587335,-0.5834349794587335,Pous Tio L.,2.25,0.5,-0.04999999999999993
2007-01-15,8.868211687772748,2.217052921943187,-2.217052921943187,Smashnovai A.,6.0,0.5,-0.20000000000000007
2007-01-15,7.054259297091958,1.8139523906807895,-1.8139523906807895,Foretz S.,6.5,0.5,-0.20454545454545459
2007-01-15,6.577968067178815,0.47629122991314327,-0.47629122991314327,Flipkens K.,2.37,0.5,-0.06751824817518248
2007-01-15,5.591272857101993,0.9866952100768221,-0.9866952100768221,Arvidsson S.,3.5,0.5,-0.1499999999999999
2007-01-15,4.447603409058403,1.1436694480435896,-1.1436694480435896,Craybas J.,6.5,0.5,-0.20454545454545459
2007-01-15,3.653388514583688,0.7942148944747148,-0.7942148944747148,Dellacqua C.,4.5,0.5,-0.1785714285714286
2007-01-15,3.8360579403128727,0.15222452144098714,0.1826694257291846,Vesnina E.,2.2,0.5,0.050000000000000044
2007-01-15,2.9836006202433456,0.8524573200695272,-0.8524573200695272,Wozniak A.,10.0,0.5,-0.2222222222222222
2007-01-15,3.259583677615855,0.20144748713321864,0.27598305737250955,Birnerova E.,2.37,0.5,0.09250000000000003
2007-01-15,3.0395022979228137,0.22008137969304137,-0.22008137969304137,Czink M.,2.37,0.5,-0.06751824817518248
2007-01-15,2.9704227002427497,0.069079597680064,-0.069079597680064,Dushevina V.,2.1,0.5,-0.022727272727272707
2007-01-15,2.557863991875701,0.4125587083670486,-0.4125587083670486,Brianti A.,3.25,0.5,-0.13888888888888895
2007-01-15,2.009750279330908,0.548113712544793,-0.548113712544793,Tanasugarn T.,8.0,0.5,-0.2142857142857142
2007-01-15,1.6189655027943426,0.39078477653656546,-0.39078477653656546,Kloesel S.,5.5,0.5,-0.19444444444444442
2007-01-15,2.562012908172047,0.2831974190323437,0.9430474053777045,Schruff J.,4.33,0.5,0.5825
2007-01-15,1.9855600038333363,0.5764529043387107,-0.5764529043387107,Moore J.,11.0,0.5,-0.2250000000000001
2007-01-15,2.8542425055104212,0.3158845460643944,0.8686825016770847,Adamczak M.,3.75,0.5,0.4375000000000002
2007-01-15,3.3894129752936255,0.3058116970189737,0.535170469783204,Kremer A.,2.75,0.5,0.1875
2007-01-15,2.896600837672481,0.4928121376211443,-0.4928121376211443,Santangelo M.,3.39,0.5,-0.14539748953974907
2007-01-16,2.224175643212798,0.6724251944596831,-0.6724251944596831,Pin C.,15.0,0.5,-0.2321428571428571
2007-01-16,2.5689228679107816,0.21280692882591587,0.34474722469798375,Rodionova A.,2.62,0.5,0.15500000000000003
2007-01-16,2.0551382943286254,0.5137845735821563,-0.5137845735821563,Savchuk O.,6.0,0.5,-0.19999999999999996
2007-01-16,1.6555280704313926,0.3996102238972327,-0.3996102238972327,King V.,5.5,0.5,-0.19444444444444442
2007-01-16,1.3451165572255066,0.3104115132058861,-0.3104115132058861,Bammer S.,5.0,0.5,-0.1874999999999999
2007-01-16,1.2009969260942024,0.14411963113130427,-0.14411963113130427,Beygelzimer Y.,2.75,0.5,-0.1071428571428571
